SiteID,X,Y,Location
468,322271,239939,GRANGE RD NEWBROOK AV
470,312009,236592,NAVAN RD BAGGOT RD KINVARA
471,311142,230926,WALKINSTOWN AV ROUNDABOUT
472,307970,234002,BALLYFERMOT RD KENNELSFORT ROAD
473,313168,230192,FORTFIELD RD WAINSFORT RD
476,317942,235301,EAST WALL RD EAST RD
477,311278,231396,Walkinstown Road  Kilnamanagh
478,313480,233079,SCR  Herberton Park  Rialto Street
479,316626,231765,SANDFORD RD ANNA VILLA
480,319511,232019,STRAND RD SANDYMOUNT TOWER
481,310093,233318,Kylemore Road @ Kylemore Avenue
483,315897,235537,GARDINER ST CHURCH
484,315285,235586,BERKELEY ST ST JOSEPHS CHURCH
485,313573,238451,FINGLAS RD CLEARWATER SC (OLD JANELLE SC)
486,313728,233830,JAMES ST HOSPITAL
487,311035,232252,NAAS RD MUIRFIELD (LUAS)
488,309712,233698,BALLYFERMOT ROAD BALLYFERMOT PARADE
489,314101,235206,Prussia Street  shopping centre
490,314625,230289,TEREURE ROAD CHURCH
492,318961,236743,HOWTH RD ASHBROOK
493,317761,238720,BEAUMONT RD @ HOSPITAL
494,323175,238485,HOWTH RD JAMES LARKIN RD
495,319897,240412,Darndale Road (ped)  Ferrycarrig @ belcamp grove
496,317087,232155,MOREHAMPTON RD BLOOMFIELD AV
497,309695,233194,kylemore avenue  le fanu road
498,309708,234536,Kylemoe road  by-pass
500,317311,237212,GRIFFITH AVENUE PHILIPSBURGH AVE GLANDORE RD
501,312097,233822,CHAPELIZOD BYPASS CONCOLBERT RD
502,312765,233457,BULFIN ROAD SOUTH CIRCULAR ROAD SCR
503,312764,233723,INCHICORE ROAD OLD KILMAINHAM LANE
504,,,Orwell Rd @ Zion Rd
505,318649,238577,Skellys lane (west of roundabout)
506,320154,235817,CLONTARF RD VERNON AV
507,314358,236203,FASSAUGH RD DOWTH AV
508,316742,239510,SWORDS RD OMNI PARK SC
509,318881,233573,BREMEN GROVE NTH BOUND SEAN MOORE RD
510,313277,238795,FINGLAS ROAD WELLMOUNT RD
511,320190,236370,Seafield road  vernon avenue
513,316481,234716,AMIEN STREET STORE STREET
514,,,Kimmage Rd Lwr @ Mount Argus Estate
515,311296,236938,NAVAN ROAD KEMPTON ESTATE
516,315915,238901,Collins Avenue  Shanowen Road
517,317423,238119,COLLINS AV COLLINSWOOD
